                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    138,                0.84857,                0.76488,                 1.0922,                0.60009,                0.42911,                0.45327,                0.29837,                 1.3047,                 1.8913,                 1.4767,               0.000958,               0.000958,               0.000958
                    139,                0.84427,                 0.7561,                 1.0876,                0.60008,                0.42703,                0.45111,                0.29655,                  1.306,                 1.9004,                 1.4763,               0.000892,               0.000892,               0.000892
                    140,                0.83765,                0.74744,                 1.0831,                0.60166,                0.42303,                0.44958,                0.29509,                 1.3095,                 1.9056,                  1.478,               0.000826,               0.000826,               0.000826
                    141,                0.76234,                0.58193,                 1.0257,                0.57619,                 0.4355,                0.44824,                0.29425,                 1.3107,                 1.9122,                 1.4791,                0.00076,                0.00076,                0.00076
                    142,                0.74982,                0.56207,                 1.0212,                0.58894,                0.42934,                0.44755,                0.29385,                 1.3097,                 1.9231,                 1.4774,               0.000694,               0.000694,               0.000694
                    143,                0.73863,                0.54828,                 1.0132,                0.60621,                 0.4193,                0.44663,                0.29301,                 1.3113,                 1.9316,                 1.4787,               0.000628,               0.000628,               0.000628
                    144,                0.73439,                0.53799,                 1.0111,                0.60281,                0.42079,                0.44507,                0.29156,                 1.3123,                 1.9414,                 1.4789,               0.000562,               0.000562,               0.000562
                    145,                0.72502,                0.52504,                 1.0028,                0.59838,                0.42011,                0.44367,                0.29024,                 1.3157,                 1.9531,                 1.4798,               0.000496,               0.000496,               0.000496
                    146,                0.72813,                0.53372,                 1.0093,                0.59818,                0.42088,                0.44262,                0.28933,                 1.3197,                 1.9598,                 1.4832,                0.00043,                0.00043,                0.00043
                    147,                0.72267,                 0.5243,                 1.0058,                0.59462,                0.42036,                0.44071,                0.28789,                 1.3233,                 1.9654,                 1.4864,               0.000364,               0.000364,               0.000364
                    148,                0.71634,                0.51618,                 1.0007,                 0.5862,                0.42652,                0.43928,                0.28656,                 1.3273,                 1.9749,                 1.4897,               0.000298,               0.000298,               0.000298
                    149,                0.70934,                0.50675,                0.99641,                0.58582,                0.42652,                0.43823,                 0.2859,                 1.3298,                 1.9818,                 1.4914,               0.000232,               0.000232,               0.000232
                    150,                0.70189,                0.49797,                0.99205,                0.57891,                0.42523,                0.43684,                0.28495,                 1.3329,                 1.9879,                 1.4934,               0.000166,               0.000166,               0.000166
